ec50_am,ec50_lm,efficacy,sum_nll_al,sum_nll_am,sum_nll_lm,sum_nll
0.01,1.13,0.9996,136.30848045983072,0,46.050672610135535,182.35915306996625
0.01,1.15,0.999,118.91356179580549,0,46.051607189167115,164.9651689849726
0.01,1.17,0.9995,132.78825567971606,0,46.05169068538986,178.8399463651059
0.01,1.19,0.9992,123.88772141998024,0,46.05170040701134,169.93942182699158
0.01,1.21,0.999,118.91356179580549,0,46.051701776948114,164.9652635727536
0.01,1.23,0.9996,136.30848045983072,0,46.0517018540873,182.36018231391802
0.01,1.25,0.9997,140.10509177952875,0,46.05170185937099,186.15679363889973
0.01,1.27,0.9993,126.60466401726076,0,46.05170185984696,172.6563658771077
0.01,1.29,0.9991,121.32765049893527,0,46.05170185988051,167.37935235881577
0.01,1.31,0.9997,140.10509177952875,0,46.051701859880836,186.15679363940959
0.01,1.33,0.9996,136.30848045983072,0,46.05170185988091,182.3601823197116
0.01,1.35,0.9989,116.6552468154434,0,46.051701859880914,162.70694867532433
0.01,1.37,0.9994,129.54357120556122,0,46.051701859880914,175.59527306544214
0.01,1.39,0.9992,123.88772141998024,0,46.051701859880914,169.93942327986116
0.01,1.41,0.9988,114.55565902248857,0,46.051701859880914,160.60736088236948
0.01,1.43,0.9986,110.79795651489594,0,46.051701859880914,156.84965837477685
0.01,1.45,0.999,118.91356179580549,0,46.051701859880914,164.9652636556864
0.01,1.47,0.9993,126.60466401726076,0,46.051701859880914,172.65636587714167
0.01,1.49,0.9989,116.6552468154434,0,46.051701859880914,162.70694867532433
0.01,1.51,0.9988,114.55565902248857,0,46.051701859880914,160.60736088236948
0.01,1.53,0.9993,126.60466401726076,0,46.051701859880914,172.65636587714167
0.01,1.55,0.9989,116.6552468154434,0,46.051701859880914,162.70694867532433
0.01,1.57,0.9988,114.55565902248857,0,46.051701859880914,160.60736088236948
0.01,1.59,0.9993,126.60466401726076,0,46.051701859880914,172.65636587714167
0.01,1.61,0.999,118.91356179580549,0,46.051701859880914,164.9652636556864
0.01,1.63,0.9989,116.6552468154434,0,46.051701859880914,162.70694867532433
0.01,1.65,0.9989,116.6552468154434,0,46.051701859880914,162.70694867532433
0.01,1.6700000000000002,0.9987,112.60746886557615,0,46.051701859880914,158.65917072545707
0.01,1.69,0.999,118.91356179580549,0,46.051701859880914,164.9652636556864
0.01,1.71,0.9992,123.88772141998024,0,46.051701859880914,169.93942327986116
0.01,1.73,0.9984,107.5393148071887,0,46.051701859880914,153.59101666706962
0.01,1.75,0.9982,104.67861175660583,0,46.051701859880914,150.73031361648674
0.01,1.77,0.9989,116.6552468154434,0,46.051701859880914,162.70694867532433
0.01,1.79,0.999,118.91356179580549,0,46.051701859880914,164.9652636556864
0.01,1.81,0.9992,123.88772141998024,0,46.051701859880914,169.93942327986116
0.01,1.83,0.999,118.91356179580549,0,46.051701859880914,164.9652636556864
0.01,1.85,0.9982,104.67861175660583,0,46.051701859880914,150.73031361648674
0.01,1.87,0.9993,126.60466401726076,0,46.051701859880914,172.65636587714167
0.01,1.89,0.999,118.91356179580549,0,46.051701859880914,164.9652636556864
0.01,1.91,0.9994,129.54357120556122,0,46.051701859880914,175.59527306544214
0.01,1.93,0.9993,126.60466401726076,0,46.051701859880914,172.65636587714167
0.01,1.95,0.9983,106.06468833183757,0,46.051701859880914,152.1163901917185
0.01,1.97,0.9986,110.79795651489594,0,46.051701859880914,156.84965837477685
0.01,1.99,0.9985,109.11304943225562,0,46.051701859880914,155.16475129213654
0.03,0.01,1.0,207.23265836946408,0,13.260944151007077,220.49360252047114
0.03,0.03,0.9999,151.6098601692867,0,13.029396893370077,164.63925706265678
0.03,0.05,1.0,207.23265836946408,0,11.565804985874385,218.79846335533847
0.03,0.0699999999999999,1.0,207.23265836946408,0,11.916006426566033,219.14866479603012
0.03,0.09,1.0,207.23265836946408,0,10.576720324925896,217.80937869438998
0.03,0.11,1.0,207.23265836946408,0,11.565804985874385,218.79846335533847
0.03,0.13,1.0,207.23265836946408,0,11.482039612947993,218.71469798241208
0.03,0.15,1.0,207.23265836946408,0,10.441410406619562,217.67406877608363
0.03,0.17,1.0,207.23265836946408,0,9.819058718414354,217.05171708787844
0.03,0.19,1.0,207.23265836946408,0,9.324653590437276,216.55731195990134
0.03,0.21,0.9998,144.8855153349816,0,8.233588160653781,153.1191034956354
0.03,0.23,1.0,207.23265836946408,0,7.643331168081065,214.87598953754514
0.03,0.25,1.0,207.23265836946408,0,7.7472226526106445,214.97988102207472
