ec50_am,ec50_lm,efficacy
0.05,1.99,0.9928
0.06999999999999999,0.01,0.9999
0.06999999999999999,0.03,1.0
0.06999999999999999,0.05,1.0
0.06999999999999999,0.06999999999999999,1.0
0.06999999999999999,0.09,1.0
0.06999999999999999,0.11,0.9999
0.06999999999999999,0.13,0.9998
0.06999999999999999,0.15000000000000002,0.9999
0.06999999999999999,0.17,0.9999
0.06999999999999999,0.19,0.9999
0.06999999999999999,0.21000000000000002,1.0
0.06999999999999999,0.23,0.9999
0.06999999999999999,0.25,0.9999
0.06999999999999999,0.27,0.9998
0.06999999999999999,0.29000000000000004,0.9999
0.06999999999999999,0.31,0.9998
0.06999999999999999,0.33,0.9999
0.06999999999999999,0.35000000000000003,0.9997
0.06999999999999999,0.37,0.9998
0.06999999999999999,0.39,0.9997
0.06999999999999999,0.41000000000000003,0.9998
0.06999999999999999,0.43,0.9999
0.06999999999999999,0.45,0.9988
0.06999999999999999,0.47000000000000003,0.9996
0.06999999999999999,0.49,0.9995
0.06999999999999999,0.51,0.9994
0.06999999999999999,0.53,0.9989
0.06999999999999999,0.55,0.9993
0.06999999999999999,0.5700000000000001,0.9996
0.06999999999999999,0.59,0.9992
0.06999999999999999,0.61,0.9987
0.06999999999999999,0.63,0.9988
0.06999999999999999,0.65,0.999
0.06999999999999999,0.67,0.9988
0.06999999999999999,0.6900000000000001,0.9981
0.06999999999999999,0.7100000000000001,0.9988
0.06999999999999999,0.73,0.9985
0.06999999999999999,0.75,0.9981
0.06999999999999999,0.77,0.998
0.06999999999999999,0.79,0.9974
0.06999999999999999,0.81,0.9975
0.06999999999999999,0.8300000000000001,0.9983
0.06999999999999999,0.85,0.9972
0.06999999999999999,0.87,0.9967
0.06999999999999999,0.89,0.9965
0.06999999999999999,0.91,0.9976
0.06999999999999999,0.93,0.9967
0.06999999999999999,0.9500000000000001,0.9966
0.06999999999999999,0.97,0.9969
0.06999999999999999,0.99,0.9967
0.06999999999999999,1.01,0.9957
0.06999999999999999,1.03,0.9954
0.06999999999999999,1.05,0.9961
0.06999999999999999,1.07,0.9943
0.06999999999999999,1.09,0.9958
0.06999999999999999,1.11,0.9951
0.06999999999999999,1.1300000000000001,0.9948
0.06999999999999999,1.1500000000000001,0.9959
0.06999999999999999,1.17,0.9957
0.06999999999999999,1.19,0.9939
0.06999999999999999,1.21,0.9938
0.06999999999999999,1.23,0.9934
0.06999999999999999,1.25,0.9933
0.06999999999999999,1.27,0.9938
0.06999999999999999,1.29,0.9932
0.06999999999999999,1.31,0.9932
0.06999999999999999,1.33,0.9926
0.06999999999999999,1.35,0.993
0.06999999999999999,1.37,0.9932
0.06999999999999999,1.3900000000000001,0.9935
0.06999999999999999,1.4100000000000001,0.9925
0.06999999999999999,1.43,0.9917
0.06999999999999999,1.45,0.9927
0.06999999999999999,1.47,0.9926
0.06999999999999999,1.49,0.9918
0.06999999999999999,1.51,0.9917
0.06999999999999999,1.53,0.9934
0.06999999999999999,1.55,0.993
0.06999999999999999,1.57,0.9919
0.06999999999999999,1.59,0.993
0.06999999999999999,1.61,0.9908
0.06999999999999999,1.6300000000000001,0.9922
0.06999999999999999,1.6500000000000001,0.99
0.06999999999999999,1.6700000000000002,0.9908
0.06999999999999999,1.69,0.9893
0.06999999999999999,1.71,0.9907
0.06999999999999999,1.73,0.9912
0.06999999999999999,1.75,0.9919
0.06999999999999999,1.77,0.9924
0.06999999999999999,1.79,0.9913
0.06999999999999999,1.81,0.9917
0.06999999999999999,1.83,0.9904
0.06999999999999999,1.85,0.9907
0.06999999999999999,1.87,0.9918
0.06999999999999999,1.8900000000000001,0.9908
0.06999999999999999,1.9100000000000001,0.9898
0.06999999999999999,1.93,0.9899
0.06999999999999999,1.95,0.9919
0.06999999999999999,1.97,0.9924
0.06999999999999999,1.99,0.9922
0.09,0.01,0.9999
0.09,0.03,1.0
0.09,0.05,1.0
0.09,0.06999999999999999,0.9999
0.09,0.09,0.9999
0.09,0.11,1.0
0.09,0.13,0.9999
0.09,0.15000000000000002,1.0
0.09,0.17,0.9999
0.09,0.19,1.0
0.09,0.21000000000000002,0.9998
0.09,0.23,0.9999
0.09,0.25,0.9998
0.09,0.27,0.9998
0.09,0.29000000000000004,0.9999
0.09,0.31,0.9998
0.09,0.33,0.9999
0.09,0.35000000000000003,0.9996
0.09,0.37,0.9996
0.09,0.39,0.9996
0.09,0.41000000000000003,0.9992
0.09,0.43,0.9991
0.09,0.45,0.9992
0.09,0.47000000000000003,0.9995
0.09,0.49,0.9994
0.09,0.51,0.9993
0.09,0.53,0.9988
0.09,0.55,0.9988
0.09,0.5700000000000001,0.9985
0.09,0.59,0.9984
0.09,0.61,0.9986
0.09,0.63,0.9981
0.09,0.65,0.9976
0.09,0.67,0.9981
0.09,0.6900000000000001,0.9978
0.09,0.7100000000000001,0.9966
